ingredientID,ingredients,recipeinfo
"3132,16421,4397,18156,18921,4397","beef tongue, whole,salt,onion, chopped,rye bread,coarse grained prepared mustard,onion, thinly sliced",https://www.allrecipes.com/recipe/14672/tongue-and-mustard-sandwiches/
"16421,16396,16429,5320,4279,4397,4432,4366,4529,4342,4572,23274,20303,16377,6307,16159","salt,garlic powder,fresh rosemary,pork chops,carrots, chopped,onion, chopped,green bell pepper, chopped,leeks, chopped,zucchini, chopped,minced garlic,tomatoes, coarsely chopped,vegetable broth,cinnamon stick,ground allspice,olive oil,fresh basil leaves",https://www.allrecipes.com/recipe/22280/summer-garden-pork-chops/
"1681,16287,6305,1525,16317,1507,1684,7785,2359,16421,5218","wheat bran,buttermilk,vegetable oil,brown sugar,egg,molasses,all-purpose flour,baking powder,baking soda,salt,golden raisins",https://www.allrecipes.com/recipe/68651/bran-muffins-a-la-brian/
"16157,1507,16261,1525,7842,1684,2359,16421,16386,16397","butter, softened,molasses,sour cream,brown sugar,distilled white vinegar,all-purpose flour,baking soda,salt,ground cinnamon,ground ginger",https://www.allrecipes.com/recipe/24435/molasses-cookies-vi/
"1718,4380,16157,6493,5467,16261,16238","spaghetti,mushrooms, drained,butter,boneless chicken breast halves, cooked,condensed cream of chicken soup,sour cream,grated Parmesan cheese",https://www.allrecipes.com/recipe/11722/chicken-tetrazzini-i/
"4279,1684,1526,2359,2356,16421,16386,16317,6379,16424,5190,3810,1527,16237,16157,16424,3810","grated carrots,all-purpose flour,white sugar,baking soda,baking powder,salt,ground cinnamon,eggs,vegetable oil,vanilla extract,crushed pineapple with juice,chopped pecans,confectioners' sugar,Neufchatel cheese,butter, softened,vanilla extract,chopped pecans",https://www.allrecipes.com/recipe/7272/awesome-carrot-cake-with-cream-cheese-frosting/
"4442,16317,5375,4341,16422","potatoes,large eggs,bacon,escarole,apple cider vinegar",https://www.allrecipes.com/recipe/16622/hot-german-potato-salad-i/
"4133,4342,5174,4405,2882,1526,6309,8336,3752,4343,16406","beef top sirloin, thinly sliced,garlic, minced,pear - peeled, cored, and minced,green onions, thinly sliced,soy sauce,white sugar,sesame oil,rice wine,sesame seeds,minced fresh ginger,freshly ground black pepper to taste",https://www.allrecipes.com/recipe/48546/korean-bbq-beef-pul-kogi/
"4267,6756,3758,6379,1526,7842","cabbage, coarsely chopped,ramen noodles, crushed,sunflower seeds,vegetable oil,white sugar,distilled white vinegar",https://www.allrecipes.com/recipe/15802/ramen-cabbage-salad/
"1526,16317,16157,16424,1684,1416,7785,16421,18502,16223,2858,1526,16317,16278","white sugar,eggs,butter, melted,vanilla extract,all-purpose flour,unsweetened cocoa powder,baking powder,salt,milk chocolate chips,cream cheese, softened,creamy peanut butter,white sugar,egg,milk",https://www.allrecipes.com/recipe/25111/peanut-butter-brownies-ii/
"4442,16157,1684,16276,16421,16406,18907,4405,16215,16261","baking potatoes,butter,all-purpose flour,whole milk,salt,ground black pepper,bacon bits, divided,green onions, chopped,shredded Cheddar cheese,sour cream",https://www.allrecipes.com/recipe/25665/baked-potato-soup-v/
"20584,2496,5375,4431,16385,20244,4397,4342","15 bean soup mix,water,bacon,canned green chile peppers, chopped,chili powder,crushed red pepper flakes,onion, chopped,garlic, minced",https://www.allrecipes.com/recipe/16826/southwestern-style-fifteen-bean-soup/
"18526,16258,16424","bittersweet chocolate, chopped,heavy cream,vanilla extract",https://www.allrecipes.com/recipe/24691/basic-truffles/
"2666,6294,4397,16215,5592","cooked shrimp, finely chopped,mayonnaise,onion, minced,shredded Cheddar cheese,hot pepper sauce",https://www.allrecipes.com/recipe/19507/shrimp-dip-iii/
